mode: set
zpui/internal/updater/backup.go:33.53,38.2 1 0
zpui/internal/updater/yandex_disk.go:443.23,445.10 1 0
zpui/internal/updater/yandex_disk.go:446.9,448.23 3 0
zpui/internal/updater/yandex_disk.go:448.23,450.10 1 0
zpui/internal/updater/yandex_disk.go:451.9,452.45 2 0
zpui/internal/updater/yandex_disk.go:452.45,454.10 1 0
zpui/internal/updater/yandex_disk.go:456.9,457.23 2 0
zpui/internal/updater/yandex_disk.go:457.23,459.10 1 0
zpui/internal/updater/yandex_disk.go:460.9,462.12 3 0
zpui/internal/updater/yandex_disk.go:475.57,477.16 2 0
zpui/internal/updater/yandex_disk.go:477.16,479.3 1 0
zpui/internal/updater/yandex_disk.go:480.2,480.15 1 0
zpui/internal/updater/yandex_disk.go:480.15,482.3 1 0
zpui/internal/updater/yandex_disk.go:483.2,484.57 2 0
zpui/internal/updater/yandex_disk.go:484.57,486.3 1 0
zpui/internal/updater/yandex_disk.go:487.2,489.16 3 0
zpui/internal/updater/yandex_disk.go:489.16,491.3 1 0
zpui/internal/updater/yandex_disk.go:492.2,492.45 1 0
zpui/internal/updater/yandex_disk.go:496.63,498.16 2 0
zpui/internal/updater/yandex_disk.go:498.16,500.3 1 0
zpui/internal/updater/yandex_disk.go:501.2,501.15 1 0
zpui/internal/updater/yandex_disk.go:501.15,503.3 1 0
zpui/internal/updater/yandex_disk.go:504.2,504.38 1 0
zpui/internal/updater/yandex_disk.go:509.50,511.74 2 0
zpui/internal/updater/yandex_disk.go:511.74,513.3 1 0
zpui/internal/updater/yandex_disk.go:514.2,517.44 4 0
zpui/internal/updater/yandex_disk.go:517.44,519.3 1 0
zpui/internal/updater/yandex_disk.go:520.2,520.36 1 0
